"county","proficiency_lp_center","proficiency_mt_center","classroom_center","classroom_used_center","computers_center","employees_center","proficiency_lp_radius","proficiency_mt_radius","classroom_radius","classroom_used_radius","computers_radius","employees_radius"
4114302,258.466316943396,261.541612377358,11.3333333333333,10,13.4444444444444,37.3888888888889,82.4935469860703,85.4237483789686,11.0613263750994,8.89150288361938,27.723188189649,39.6996896647458
4114351,264.037433736842,269.068956684211,5.5,4.83333333333333,11,18.1666666666667,91.5348814891986,93.2054117098698,4.14728827066554,4.08248290463863,31.7742033731768,27.3471509789716
4114401,258.348982258621,262.27244595977,9.09090909090909,8.36363636363636,9.5,30.1818181818182,82.5593089302146,85.4943887838506,9.59978354734335,10.0956464836125,19.447119997328,25.0229332043065
4114500,263.309919594828,260.861155534483,8,7.26315789473684,15.4210526315789,32.5263157894737,83.6394259942372,89.7875848168619,10.5409255338946,10.3245576771148,31.6390461260462,60.1714898198017
4114609,274.857725924706,276.358714348235,8.23913043478261,7.73913043478261,22.6086956521739,39.7608695652174,81.6411774883565,82.7319580800133,9.61651156532296,9.85616362245762,46.5474252986389,60.699895343287
4114807,275.985906170732,277.761395599303,10.2916666666667,9.79166666666667,16.4583333333333,41.8333333333333,84.1135716236722,82.2952562156544,9.7531117293814,10.1635181629825,33.471489057258,58.2368975125226
4114906,272.344082061538,274.462767376923,6.9,6.7,11.6,28,70.611860067242,76.2861745901368,6.06996247471469,6.46701030014815,22.7683991532123,37.6415845693149
4115200,267.185191553107,269.781143875275,12.8347457627119,12.2689075630252,19.2436974789916,52.1638655462185,93.8984023806053,89.6171682527712,15.9587527293496,21.3283709613372,47.5200806848074,77.0879939147517
4115358,284.093757931818,300.835826772727,7.85714285714286,7.14285714285714,16.5714285714286,27.5714285714286,82.8558378729882,77.7192909801044,8.75051018920774,9.12349139518941,32.636526425814,36.2740888763526
4115408,275.171812502645,275.865322550265,8.15384615384615,7.84615384615385,17.6923076923077,29.9230769230769,83.6126565506954,84.3010993047312,6.47282286930794,5.87912430248779,31.9518869070839,32.1399184655836
4115606,253.827461936709,259.549299379747,8.8421052631579,8.47368421052632,15.2631578947368,30.7368421052632,100.665030399282,98.8116365430694,8.69899503505336,8.06552115978548,21.866688061607,39.7706877277623
4115705,258.911503145238,263.062504778571,9.75,8.0625,11.0625,31.125,94.482575813029,85.2354508531593,9.43569065116678,9.42114985106006,40.9844581085515,42.8794258507541
4115804,281.372282712468,284.554636493639,9.45945945945946,8.78378378378378,18.1351351351351,34.2162162162162,80.0101525211197,85.8109087512292,8.29450413218288,7.60314459995388,26.9079177201811,42.7216706267573
4116059,272.512504185841,284.464934336283,6.625,6.3125,10.875,29.5625,90.8477470032274,96.4149672152228,5.45893762558247,5.7835974963685,18.7171935218219,37.9189926026523
4116109,246.2716744,258.23550608,7.92307692307692,6,10.6153846153846,26.4615384615385,95.8709007756252,95.4374061680644,8.3050803111324,6.83130051063973,15.5035149033687,30.4588835931915
4116208,246.844409173709,245.674480558685,5.45833333333333,5.5,3.83333333333333,22.5416666666667,95.7739564367376,87.2055938903279,9.39896694909313,10.3335670847802,11.7609030511993,40.8133787385702
4116703,261.708550791667,271.281580569444,8,6.71428571428571,15.8571428571429,35.0714285714286,99.397354800642,103.772809588965,7.48331477354788,5.84036729237897,44.9331615957414,28.8706855394271
4116802,263.753348287234,267.517990308511,7,6.22222222222222,15.4444444444444,32.6666666666667,76.0662201406804,68.7122637200051,9.32737905308882,10.381607668265,28.1799771311318,41.545156155682
4116901,271.144251943005,271.385185487047,10.1666666666667,8.58333333333333,18.75,31.9583333333333,78.2825276852623,82.7094941858449,14.5023736188153,11.4651330285487,36.2563337794989,57.1450607753154
4116950,270.951773875,269.657300638889,7.28571428571429,6.42857142857143,9.71428571428571,24,89.3033828841922,92.0892224133211,3.59894164336975,5.27347359996462,18.8578643440621,26.1788718880958
4117057,242.415020442105,257.306019505263,7.80952380952381,6.31818181818182,10.5454545454545,27.2272727272727,95.1928037983891,94.6650461433828,6.21672092405788,7.04776529624786,27.3790136712481,33.5626312503984
4117107,269.211116552632,262.57661422807,8.64285714285714,9,12.7142857142857,28.9285714285714,85.3081738002449,87.9400627804189,6.59170307663729,8.11456430414806,27.6620102882421,31.0281686979308
4117222,278.67658585,286.56747285,7.1,6.4,8.4,25,72.1046467278446,68.1103440036716,7.68548415304245,7.8429019572548,21.0015872416031,34.9857113690718
4117255,257.437515232759,270.028634422414,8.54545454545454,8.09090909090909,7.45454545454545,27.2727272727273,95.0019780391217,78.2023950732939,8.50240607657086,6.47793457543655,13.5753787825942,22.6466935174371
4117271,242.207988682927,239.249883817073,7.6,6.46666666666667,14.8,22.4,81.716759060235,81.4440835655863,6.40535490262417,4.39913411393435,34.7003499364817,24.7709507286257
4117305,243.33776070202,245.372129585859,6.55555555555556,5.83333333333333,6.16666666666667,20.3888888888889,86.5583276219228,86.2436711457242,8.98817565400797,7.77541914350235,15.3920201960069,31.9795569620979
4117503,270.308200124694,271.136862711491,9.84,8.68,13.6,41.4,81.0894279448022,81.6243097045774,7.13395635908528,7.40990328321947,28.0535202782111,48.5626742811116
4117602,240.916373306413,235.731240396675,13,11.4146341463415,14.0243902439024,38.7317073170732,91.7156110053138,87.9751699663257,19.9097965835917,18.5524963805742,33.521598425129,76.1301837515764
4117701,271.44323469837,272.564774877717,8.94594594594595,8.59459459459459,18,31.2162162162162,77.2021016241132,86.2126087193411,8.74256440825187,8.60825778552792,32.4379750018743,44.4425600201107
4117800,257.765122918367,251.623745821429,8.63157894736842,8.31578947368421,14.5789473684211,28.8947368421053,88.8674688965561,83.3779433896084,14.5175836115425,13.3675000833938,33.752799320772,41.9464989233884
4117909,279.793674383481,286.563885498525,11.2903225806452,9.25806451612903,19.2258064516129,40.4193548387097,77.1131025338292,86.4430337234357,9.77334536225404,9.47934937198377,31.6594785276884,42.897627575577
4118204,258.313724225294,254.923823155882,9.56818181818182,8.96969696969697,16.6439393939394,36.4090909090909,88.0309024486916,82.163028541933,13.1141626881703,11.5750175676305,59.6089713908508,61.7861144732953
4118402,261.002722590434,257.680762744395,10.7971014492754,10.2463768115942,25.4202898550725,42.0724637681159,90.5688203929337,85.342955616463,10.4969447103595,11.3625069577482,90.2899941020771,60.1569700040503
4118501,266.859841246506,268.463390819568,11.6103896103896,9.80519480519481,18.5454545454545,37.4025974025974,94.9881495936299,93.5315736033993,20.9665293269154,11.8722984119777,34.7480335748741,54.3354684396266
4118600,272.919926567568,282.862195810811,6.4,5.2,6.1,16.4,97.2622172986019,96.7322793612383,5.43241300999023,6.65331997326648,21.816405651609,23.0786096249801
4118709,262.669044827957,263.15718083871,7.375,7.375,14.5,28.5,85.1794120972197,92.7389234931412,5.00713776237768,5.00713776237768,31.8388800951649,30.5005854744743
4118808,224.089106547619,241.826392857143,8.53333333333333,8.2,7.86666666666667,28.1333333333333,84.8199201524868,80.9537776837219,11.8047609443131,12.0047609603143,23.0386838248402,43.4041911515905
4119004,244.739074558824,261.384577676471,7.44444444444444,7.33333333333333,17.7777777777778,25.4444444444444,89.9074149147393,79.8114170283907,7.21880260923591,7.48331477354788,25.2344561617202,33.0471044285443
4119103,269.141347892617,273.506091100671,7.92307692307692,7.38461538461539,9.15384615384615,23.5384615384615,85.7708778062489,83.0462313178645,7.27834864336403,7.14322343383161,13.1617160442994,31.5870794747408
4119152,257.199062400328,256.720973806399,13.5853658536585,10.5,25.3536585365854,45.8170731707317,90.5200530324326,86.4196760563172,40.4724582096525,14.9245013565191,70.002731481959,83.1129697051723
